run_id,video_name,output_video_name,infer_fps_target,video_fps,stride,imgsz,roi_size,temporal_roi_propagation_enabled,troi_seed_min_area_px2,cascaded_roi_confirmation_mode,detect_conf,troi_detect_conf,cascade_trigger_conf,cascade_detect_conf,cascade_accept_conf,precision,recall,f1,map50,warning_events_pred,alert_events_pred,warning_events_gt,alert_events_gt,warning_state_tp,warning_state_fp,warning_state_fn,warning_state_tn,warning_state_precision,warning_state_recall,warning_state_f1,alert_state_tp,alert_state_fp,alert_state_fn,alert_state_tn,alert_state_precision,alert_state_recall,alert_state_f1,avg_conf_all_preds,avg_conf_tp,avg_conf_fp,avg_conf_full_preds,avg_conf_guided_preds,avg_conf_cascade_preds,cascade_attempts_total,cascade_pass_total,cascade_fail_total,avg_main_conf_cascade_attempts,avg_post_conf_cascade_attempts_with_box,avg_main_conf_cascade_pass,avg_post_conf_cascade_pass,avg_main_conf_cascade_fail,avg_post_conf_cascade_fail_with_box,avg_conf_tp_full,avg_conf_fp_full,avg_conf_tp_guided,avg_conf_fp_guided,avg_conf_tp_cascade,avg_conf_fp_cascade,num_infer_frames,num_gt_boxes,num_pred_boxes,total_inference_time_s,alertwin_cascade_time_s,avg_inference_time_ms,total_yolo_calls,effective_infer_fps,effective_call_fps,model_weights,video_path,annotation_path
20260131_095743_aacb8a1f|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00|AWVconf=0.25|AWVreq=0.40|AWVavg=0.50|AWVmin=0,gopro_006.mp4,,5,29.97093345,6,640,640,TRUE,225,Alert-Window Cascade,0.25,0.25,0.4,0.25,0.4,0.796747967,0.636363636,0.707581227,0.552006552,1,1,7,1,2,20,5,199,0.090909091,0.285714286,0.137931034,1,0,0,225,1,1,1,0.526890721,0.534483801,0.497125846,0.431736832,0.73183756,0,0,0,0,0,0,0,0,0,0,0.444441657,0.38166487,0.729091016,0.74248042,0,0,226,154,123,7.6873601,0.2074385,34.0148677,235,29.39890899,30.56966201,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\gopro_006.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\gopro_006.txt
20260131_095935_691f8030|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,gopro_006.mp4,,5,29.97093345,6,640,640,TRUE,225,None,0.25,0.25,0.4,0.25,0.4,0.796747967,0.636363636,0.707581227,0.552006552,4,1,7,1,2,2,5,217,0.5,0.285714286,0.363636364,1,0,0,225,1,1,1,0.526890721,0.534483801,0.497125846,0.431736832,0.73183756,0,0,0,0,0,0,0,0,0,0,0.444441657,0.38166487,0.729091016,0.74248042,0,0,226,154,123,6.918805301,0,30.61418275,226,32.6645989,32.6645989,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\gopro_006.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\gopro_006.txt
20260131_100047_ebef3068|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,gopro_006.mp4,,5,29.97093345,6,640,640,FALSE,225,None,0.25,0.25,0.4,0.25,0.4,0.818181818,0.642857143,0.72,0.587304867,4,1,7,1,2,2,5,217,0.5,0.285714286,0.363636364,1,0,0,225,1,1,1,0.51128017,0.531242654,0.421448992,0.51128017,0,0,0,0,0,0,0,0,0,0,0,0.531242654,0.421448992,0,0,0,0,226,154,121,6.665735301,0,29.49440399,226,33.90473666,33.90473666,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\gopro_006.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\gopro_006.txt
20260131_100230_b12f9f3f|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,GOPR5846_005.mp4,,5,29.970001,6,640,640,FALSE,225,None,0.25,0.25,0.4,0.25,0.4,0.951219512,0.619047619,0.75,0.631929047,1,0,2,0,0,1,2,72,0,0,0,0,0,0,75,0,0,0,0.590762063,0.60333649,0.34556073,0.590762063,0,0,0,0,0,0,0,0,0,0,0,0.60333649,0.34556073,0,0,0,0,75,63,41,3.2918816,0,43.89175467,75,22.78332246,22.78332246,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.txt
20260131_100305_f060bd88|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,GOPR5846_005.mp4,,5,29.970001,6,640,640,TRUE,225,None,0.25,0.25,0.4,0.25,0.4,0.957446809,0.714285714,0.818181818,0.723404255,2,0,2,0,0,2,2,71,0,0,0,0,0,0,75,0,0,0,0.698813239,0.71451335,0.34556073,0.506554701,0.780377467,0,0,0,0,0,0,0,0,0,0,0.53338703,0.34556073,0.780377467,0,0,0,75,63,47,3.3956538,0,45.275384,75,22.08705728,22.08705728,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.txt
20260131_100405_88bf8430|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,GOPR5846_005.mp4,,5,29.970001,6,640,640,TRUE,225,None,0.25,0.25,0.4,0.25,0.4,0.972972973,0.679245283,0.8,0.636363636,1,0,2,0,0,1,2,57,0,0,0,0,0,0,60,0,0,0,0.692252198,0.701217319,0.369507819,0.520780937,0.785132464,0,0,0,0,0,0,0,0,0,0,0.53338703,0.369507819,0.785132464,0,0,0,60,53,37,3.0507338,0,50.84556333,60,19.66739937,19.66739937,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.txt
20260131_100434_1e0b2e61|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,GOPR5846_005.mp4,,5,29.970001,6,640,640,TRUE,225,None,0.25,0.25,0.4,0.25,0.4,0.957446809,0.714285714,0.818181818,0.723404255,2,0,2,0,0,2,2,71,0,0,0,0,0,0,75,0,0,0,0.698813239,0.71451335,0.34556073,0.506554701,0.780377467,0,0,0,0,0,0,0,0,0,0,0.53338703,0.34556073,0.780377467,0,0,0,75,63,47,3.304707,0,44.06276,75,22.69490155,22.69490155,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5846_005.txt
20260131_100926_242a6f54|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,GOPR5844_002.mp4,,5,29.97045728,6,640,640,TRUE,225,None,0.25,0.25,0.4,0.25,0.4,1,0.945945946,0.972222222,0.909090909,3,1,3,2,3,0,0,80,1,1,1,1,0,1,81,1,0.5,0.666666667,0.727670949,0.727670949,0,0.510570884,0.740828529,0,0,0,0,0,0,0,0,0,0,0.510570884,0,0.740828529,0,0,0,83,74,70,4.301258201,0,51.82238796,83,19.29667928,19.29667928,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5844_002.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5844_002.txt
20260131_101021_351c5321|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,GOPR5844_002.mp4,,5,29.97045728,6,640,640,FALSE,225,None,0.25,0.25,0.4,0.25,0.4,0.98630137,0.972972973,0.979591837,0.902864259,3,1,3,2,3,0,0,80,1,1,1,1,0,1,81,1,0.5,0.666666667,0.703785101,0.703357583,0.734566391,0.703785101,0,0,0,0,0,0,0,0,0,0,0,0.703357583,0.734566391,0,0,0,0,83,74,73,3.4102307,0,41.08711686,83,24.33852936,24.33852936,S:\IntelliJ\Projects\ES_Drone_Detection\runs\detect\train7\weights\best.pt,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5844_002.mp4,S:\IntelliJ\Projects\ES_Drone_Detection\video_test\GOPR5844_002.txt
20260131_105021_da4def39|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,2019_10_16_C0003_4613_mavic.mp4,,5,25,5,640,640,FALSE,225,None,0.25,0.25,0.4,0.25,0.4,0.977011494,0.988372093,0.98265896,0.909090909,4,4,4,4,4,0,0,82,1,1,1,4,0,0,82,1,1,1,0.784083514,0.792056802,0.445218772,0.784083514,0,0,0,0,0,0,0,0,0,0,0,0.792056802,0.445218772,0,0,0,0,86,86,87,4.9619312,0,57.69687442,86,17.33196139,17.33196139,Yolo26n_trained/weights/best.pt,video_test/2019_10_16_C0003_4613_mavic.mp4,video_test\2019_10_16_C0003_4613_mavic.txt
20260131_105339_e05b6f4f|minEvalA=0|Wwin=10:9|Awin=10:9|Wcd=3.00|Acd=3.00,dji_mavick_distant_hillside.avi,,5,25,5,640,640,TRUE,225,None,0.25,0.25,0.4,0.25,0.4,0.862068966,0.49833887,0.631578947,0.452189042,6,2,13,6,3,3,10,285,0.5,0.230769231,0.315789474,2,0,4,295,1,0.333333333,0.5,0.686266405,0.726965243,0.431898671,0.496997335,0.754284977,0,0,0,0,0,0,0,0,0,0,0.563857721,0.371634111,0.767742123,0.552427791,0,0,301,301,174,8.191012801,0,27.21266711,303,36.74759243,36.99176248,Yolo26n_trained/weights/best.pt,video_test/dji_mavick_distant_hillside.avi,video_test\dji_mavick_distant_hillside.txt
